Ensembl Transcript ID	Associated Gene Name
ENST00000361390	MT-ND1
ENST00000361453	MT-ND2
ENST00000361624	MT-CO1
ENST00000361739	MT-CO2
ENST00000361851	MT-ATP8
ENST00000361899	MT-ATP6
ENST00000362079	MT-CO3
ENST00000361227	MT-ND3
ENST00000361335	MT-ND4L
ENST00000361381	MT-ND4
ENST00000361567	MT-ND5
ENST00000361681	MT-ND6
ENST00000361789	MT-CYB
ENST00000409466	C2orf76
ENST00000334816	C2orf76
ENST00000409877	C2orf76
ENST00000409523	C2orf76
ENST00000414534	C2orf76
ENST00000330271	ACTL10
ENST00000422247	CEP135
ENST00000257287	CEP135
ENST00000235332	MIIP
ENST00000375222	C20orf144
ENST00000227520	CCDC86
ENST00000545580	CCDC86
ENST00000596831	AC004076.9
ENST00000278302	TRIM6
ENST00000424369	TRIM6
ENST00000507320	TRIM6
ENST00000380107	TRIM6
ENST00000380097	TRIM6
ENST00000445329	TRIM6
ENST00000515022	TRIM6
ENST00000506134	TRIM6
ENST00000621176	TRIM6
ENST00000618326	TRIM6
ENST00000268459	NKD1
ENST00000479230	GNL3
ENST00000418458	GNL3
ENST00000394799	GNL3
ENST00000474423	GNL3
ENST00000295910	ERICH6
ENST00000491361	ERICH6
ENST00000474463	ERICH6
ENST00000498386	ERICH6
ENST00000261789	TM9SF1
ENST00000528669	TM9SF1
ENST00000524835	TM9SF1
ENST00000532632	TM9SF1
ENST00000396854	TM9SF1
ENST00000528895	TM9SF1
ENST00000530563	TM9SF1
ENST00000530468	TM9SF1
ENST00000525592	TM9SF1
ENST00000528010	TM9SF1
ENST00000264982	CEP70
ENST00000489254	CEP70
ENST00000484888	CEP70
ENST00000474781	CEP70
ENST00000459695	CEP70
ENST00000481834	CEP70
ENST00000468900	CEP70
ENST00000462419	CEP70
ENST00000464035	CEP70
ENST00000470159	CEP70
ENST00000485115	CEP70
ENST00000589155	ZNF225
ENST00000262894	ZNF225
ENST00000588926	ZNF225
ENST00000592780	ZNF225
ENST00000590612	ZNF225
ENST00000273450	ALDH1L1
ENST00000472186	ALDH1L1
ENST00000452905	ALDH1L1
ENST00000393434	ALDH1L1
ENST00000490367	ALDH1L1
ENST00000460368	ALDH1L1
ENST00000488356	ALDH1L1
ENST00000509952	ALDH1L1
ENST00000393431	ALDH1L1
ENST00000455064	ALDH1L1
ENST00000446465	SLC35G2
ENST00000393079	SLC35G2
ENST00000219689	USP31
ENST00000567975	USP31
ENST00000563525	USP31
ENST00000553728	RP11-407N17.3
ENST00000372037	BMPR1A
ENST00000480152	BMPR1A
ENST00000524087	NPIPB11
ENST00000614927	NPIPB11
ENST00000218388	TIMP1
ENST00000456754	TIMP1
ENST00000377017	TIMP1
ENST00000441738	TIMP1
ENST00000445623	TIMP1
ENST00000280571	RILPL2
ENST00000505059	MRPL36
ENST00000505818	MRPL36
ENST00000508987	MRPL36
ENST00000382647	MRPL36
ENST00000510999	MRPL36
ENST00000396467	RPL7
ENST00000352983	RPL7
ENST00000396466	RPL7
ENST00000396465	RPL7
ENST00000435330	RPL7
ENST00000431653	RPL7
ENST00000227752	IL10RA
ENST00000361354	NCKAP1
ENST00000360982	NCKAP1
ENST00000529984	MUTYH
ENST00000372104	MUTYH
ENST00000448481	MUTYH
ENST00000456914	MUTYH
ENST00000354383	MUTYH
ENST00000355498	MUTYH
ENST00000372098	MUTYH
ENST00000372110	MUTYH
ENST00000372115	MUTYH
ENST00000488731	MUTYH
ENST00000531105	MUTYH
ENST00000529892	MUTYH
ENST00000528013	MUTYH
ENST00000412971	MUTYH
ENST00000435155	MUTYH
ENST00000483127	MUTYH
ENST00000450313	MUTYH
ENST00000311812	SNX31
ENST00000518342	SNX31
ENST00000428383	SNX31
ENST00000520352	SNX31
ENST00000520661	SNX31
ENST00000520743	SNX31
ENST00000436732	DPP10
ENST00000410059	DPP10
ENST00000409163	DPP10
ENST00000393146	DPP10
ENST00000393147	DPP10
ENST00000310323	DPP10
ENST00000419287	DPP10
ENST00000544907	TNFAIP1
ENST00000578158	TNFAIP1
ENST00000226225	TNFAIP1
ENST00000582302	TNFAIP1
ENST00000577535	TNFAIP1
ENST00000381553	NPSR1
ENST00000465305	NPSR1
ENST00000360581	NPSR1
ENST00000381542	NPSR1
ENST00000359791	NPSR1
ENST00000531252	NPSR1
ENST00000381539	NPSR1
ENST00000264883	NUP54
ENST00000514987	NUP54
ENST00000514901	NUP54
ENST00000624552	HMCN2
ENST00000428715	HMCN2
ENST00000611173	HMCN2
ENST00000343508	CSMD3
ENST00000297405	CSMD3
ENST00000339701	CSMD3
ENST00000455883	CSMD3
ENST00000614623	MYO19
ENST00000610930	MYO19
ENST00000621344	MYO19
ENST00000620640	MYO19
ENST00000616159	MYO19
ENST00000622055	MYO19
ENST00000616207	MYO19
ENST00000613551	MYO19
ENST00000409720	NHEJ1
ENST00000356853	NHEJ1
ENST00000426304	NHEJ1
ENST00000457600	NHEJ1
ENST00000278060	PAOX
ENST00000357296	PAOX
ENST00000480071	PAOX
ENST00000368539	PAOX
ENST00000370377	CD99L2
ENST00000355149	CD99L2
ENST00000466436	CD99L2
ENST00000634795	CD99L2
ENST00000418547	CD99L2
ENST00000613030	CD99L2
ENST00000437787	CD99L2
ENST00000255882	PI4KA
ENST00000399213	PI4KA
ENST00000449120	PI4KA
ENST00000278460	C11orf49
ENST00000378618	C11orf49
ENST00000395460	C11orf49
ENST00000378615	C11orf49
ENST00000526827	C11orf49
ENST00000445009	DAXX
ENST00000433482	DAXX
ENST00000453931	DAXX
ENST00000454197	DAXX
ENST00000451280	DAXX
ENST00000622655	DAXX
ENST00000378979	C20orf196
ENST00000303142	C20orf196
ENST00000445603	C20orf196
ENST00000442185	C20orf196
ENST00000284476	DISP1
ENST00000378981	MAGEB1
ENST00000397548	MAGEB1
ENST00000397550	MAGEB1
ENST00000626871	DDT
ENST00000615721	DDT
ENST00000629936	DDT
ENST00000626046	DDT
ENST00000629401	DDT
ENST00000626838	DDT
ENST00000358901	VCP
ENST00000448530	VCP
ENST00000417448	VCP
ENST00000525956	SETDB1
ENST00000271640	SETDB1
ENST00000448029	SETDB1
ENST00000368962	SETDB1
ENST00000534805	SETDB1
ENST00000368969	SETDB1
ENST00000368963	SETDB1
ENST00000498193	SETDB1
ENST00000423081	SETDB1
ENST00000600536	AC004754.3
ENST00000334635	DCUN1D4
ENST00000381441	DCUN1D4
ENST00000505403	DCUN1D4
ENST00000510808	DCUN1D4
ENST00000451288	DCUN1D4
ENST00000372811	MFSD2A
ENST00000434861	MFSD2A
ENST00000372809	MFSD2A
ENST00000420632	MFSD2A
ENST00000287647	FANCD2
ENST00000419585	FANCD2
ENST00000431693	FANCD2
ENST00000383807	FANCD2
ENST00000625535	FANCD2
ENST00000302101	NHLH1
ENST00000304623	CTNND2
ENST00000511377	CTNND2
ENST00000503622	CTNND2
ENST00000502551	CTNND2
ENST00000513598	CTNND2
ENST00000508761	CTNND2
ENST00000458100	CTNND2
ENST00000367992	FCER1G
ENST00000289902	FCER1G
ENST00000368171	CD1D
ENST00000572212	KRTAP1-5
ENST00000435664	MDC1
ENST00000416368	MDC1
ENST00000412395	MDC1
ENST00000430358	MDC1
ENST00000447192	MDC1
ENST00000546539	MDC1
ENST00000309212	MXRA8
ENST00000445648	MXRA8
ENST00000477278	MXRA8
ENST00000342753	MXRA8
ENST00000533150	SULT1A2
ENST00000335715	SULT1A2
ENST00000526384	SULT1A2
ENST00000395630	SULT1A2
ENST00000383678	GTPBP8
ENST00000383677	GTPBP8
ENST00000467752	GTPBP8
ENST00000473129	GTPBP8
ENST00000619116	GTPBP8
ENST00000618381	GTPBP8
ENST00000330949	SOX1
ENST00000225792	DDX5
ENST00000450599	DDX5
ENST00000578804	DDX5
ENST00000579996	DDX5
ENST00000577787	DDX5
ENST00000577922	DDX5
ENST00000581697	DDX5
ENST00000581806	DDX5
ENST00000578190	DDX5
ENST00000583239	DDX5
ENST00000579091	DDX5
ENST00000585060	DDX5
ENST00000584279	DDX5
ENST00000583212	DDX5
ENST00000585111	DDX5
ENST00000630471	DDX5
ENST00000422156	PIP4K2C
ENST00000540759	PIP4K2C
ENST00000551772	PIP4K2C
ENST00000550465	PIP4K2C
ENST00000354947	PIP4K2C
ENST00000548264	PIP4K2C
ENST00000443891	CTDSP1
ENST00000273062	CTDSP1
ENST00000452977	CTDSP1
ENST00000428361	CTDSP1
ENST00000431127	CTDSP1
ENST00000389060	IDO2
ENST00000502986	IDO2
ENST00000001146	CYP26B1
ENST00000412253	CYP26B1
ENST00000474509	CYP26B1
ENST00000461519	CYP26B1
ENST00000546307	CYP26B1
ENST00000268607	MAP1LC3B
ENST00000565788	MAP1LC3B
ENST00000398051	GRK4
ENST00000503518	GRK4
ENST00000398052	GRK4
ENST00000345167	GRK4
ENST00000504933	GRK4
ENST00000304061	C14orf169
ENST00000299441	DCHS1
ENST00000436428	MSMP
ENST00000372486	NTMT1
ENST00000372483	NTMT1
