miRID	GeneName	Type	Source
hsa-miR-122-5p	AACS	pos	VALID
hsa-miR-183-5p	AANAT	pos	VALID
hsa-miR-128-3p	ABCA1	pos	VALID
hsa-miR-19a-3p	ABCA1	pos	VALID
hsa-miR-26a-5p	ABCA1	pos	VALID
hsa-miR-26b-5p	ABCA1	pos	VALID
hsa-miR-27a-3p	ABCA1	pos	VALID
hsa-miR-27b-3p	ABCA1	pos	VALID
hsa-miR-33a-5p	ABCA1	pos	VALID
hsa-miR-33b-5p	ABCA1	pos	VALID
hsa-miR-613	ABCA1	pos	VALID
hsa-miR-129-5p	ABCB1	pos	VALID
hsa-miR-223-3p	ABCB1	pos	VALID
hsa-miR-451a	ABCB1	pos	VALID
hsa-miR-508-5p	ABCB1	pos	VALID
hsa-miR-33a-5p	ABCB11	pos	VALID
hsa-miR-31-5p	ABCB9	pos	VALID
hsa-miR-1	ABCC1	neg	VALID
hsa-miR-1291	ABCC1	pos	VALID
hsa-miR-134-5p	ABCC1	pos	VALID
hsa-miR-345-5p	ABCC1	pos	VALID
hsa-miR-7-5p	ABCC1	pos	VALID
hsa-miR-129-5p	ABCC5	pos	VALID
hsa-miR-124-3p	ABCF2	neg	VALID
hsa-miR-128-3p	ABCG1	pos	VALID
hsa-miR-129-5p	ABCG1	pos	VALID
hsa-miR-142-3p	ABCG2	pos	VALID
hsa-miR-181a-5p	ABCG2	pos	VALID
hsa-miR-328-3p	ABCG2	pos	VALID
hsa-miR-487a-3p	ABCG2	pos	VALID
hsa-miR-519c-3p	ABCG2	pos	VALID
hsa-miR-520h	ABCG2	pos	VALID
hsa-miR-145-5p	ABHD17C	pos	VALID
hsa-miR-29a-3p	ABL1	pos	VALID
hsa-miR-30a-5p	ABL1	pos	VALID
hsa-miR-4723-5p	ABL1	pos	VALID
hsa-miR-20a-5p	ABL2	pos	VALID
hsa-miR-145-5p	ABRACL	pos	VALID
hsa-miR-125b-5p	ABTB1	pos	VALID
hsa-miR-124-3p	ACAA2	pos	VALID
hsa-miR-9-5p	ACAT1	pos	VALID
hsa-miR-212-3p	ACHE	pos	VALID
hsa-miR-205-5p	ACSL1	pos	VALID
hsa-miR-34a-5p	ACSL1	pos	VALID
hsa-miR-205-5p	ACSL4	pos	VALID
