Type	diana	mirmap	mirtarget	mirza_U	paccmit	targetscan_C	targetscan_NC
pos	0.175	0.05656059	56.3372	0.31868	-0.5	0.155	-32.278
pos	0.535	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.457	0.0692497	25	-7.5936245	-0.5	-2.219	0.032
pos	0.175	-7.60839985	25	-7.5936245	0.292	-2.219	-32.278
pos	0.175	0.0636975	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.734	-2.219	0.001
pos	0.175	-7.60839985	25	-7.5936245	0.447	-2.219	-32.278
pos	0.175	0.226666	65.7741	0.149784	0.88	-2.219	0.263
pos	0.175	0.003699	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.553	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0181853	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.47	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.533	0.554216	25	0.897022	0.649	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.296	-2.219	0.001
pos	0.539	0.171416	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.889	0.05848623	25	-7.5936245	0.896	-2.219	-32.278
pos	0.175	-7.60839985	25	0.144579	-0.5	-2.219	-32.278
pos	0.828	0.0222727	25	0.17148	-0.5	0.009	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.01
pos	0.175	0.345609	25	-7.5936245	-0.5	-2.219	0.02
pos	0.175	0.05685674	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.04367628	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0
pos	0.672	0.05860849	25	0.320249	0.165	-2.219	0.002
pos	0.175	0.0742253	25	-7.5936245	0.659	-2.219	-32.278
pos	0.704	0.562697	25	0.169491	-0.5	-2.219	0.17
pos	0.803	0.565376	25	1.010721	-0.5	0.031	0.018
pos	0.175	-7.60839985	25	-7.5936245	0.913	-2.219	-32.278
pos	0.692	0.201589	25	0.378847	0.891	-2.219	0.301
pos	0.175	0.0610393	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.843	-2.219	-32.278
pos	0.175	0.0251792	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.009
pos	0.512	0.509067	25	0.542634	-0.5	-2.219	0.46
pos	0.175	0.1215543	25	0.129136	-0.5	-2.219	0.081
pos	0.46	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.558	0.295748	25	-7.5936245	-0.5	-2.219	0.01
pos	0.515	0.0915986	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.542	-7.60839985	25	-7.5936245	0.948	-2.219	0
pos	0.574	0.385	25	-7.5936245	-0.5	-2.219	0.028
pos	0.175	-7.60839985	25	-7.5936245	0.138	-2.219	-32.278
pos	0.681	-7.60839985	25	-7.5936245	0.778	-2.219	-32.278
pos	0.472	0.241806	25	-7.5936245	0.836	-2.219	-32.278
pos	0.723	0.0924216	25	0.331943	0.709	-2.219	0.152
pos	0.175	0.169167	25	0.330524	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.914	-2.219	0.052
pos	0.175	0.0618938	25	0.140625	-0.5	-2.219	0.045
pos	0.672	0.0917039	25	-7.5936245	0.572	-2.219	0.02
pos	0.175	0.05247546	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.931	-2.219	-32.278
pos	0.588	0.331475	55.6028	0.264151	-0.5	-2.219	0.183
pos	0.175	-7.60839985	25	-7.5936245	0.996	-2.219	-32.278
pos	0.467	-7.60839985	25	-7.5936245	0.786	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.02
pos	0.462	0.0698598	25	0.234035	-0.5	-2.219	0
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0
pos	0.175	-7.60839985	25	0.194188	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0
